image_name,slash_burn,clear,blooming,primary,cloudy,conventional_mine,water,haze,cultivation,partly_cloudy,artisinal_mine,habitation,bare_ground,blow_down,agriculture,road,selective_logging
train_38183,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_6888,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_13962,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_8847,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_1310,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_28597,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_6734,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
train_29881,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_35381,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_6180,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
train_17472,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_15372,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_10901,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
train_23021,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_30839,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_37707,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
train_11210,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
train_6156,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_2432,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
train_27792,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
train_20779,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_33565,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
train_26155,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
train_31934,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
train_3396,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_32974,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_10996,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
train_1951,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
train_11218,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
train_20794,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0
train_7447,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
train_8336,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
train_26674,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
train_33878,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
train_6309,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_18409,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_15516,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
train_20543,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
train_30600,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
train_17011,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
train_36364,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
train_13169,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_32053,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
train_2717,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
train_27605,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
train_39673,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
train_30481,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
train_3093,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
train_17990,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
